Term,Definition
magnetic resonance imaging,procedure that uses magnetic waves to take a picture of various parts of the body (radiation is not used)
abdomen,belly
abdominal distention,bloating
abduction,movement away from the midline
ablation,remove
abruptio placentae,premature detachment of the placenta
absence seizure,"brief, sudden lapses of attention"
absorb,"take up fluids, take in"
abstain,avoid
achalasia,difficulty swallowing due to esophagus
achilles tendon rupture,torn tendon at the back of the ankle
acid taste,sour taste
acidosis,condition when blood contains more acid than normal
acoustic neuroma,non-cancerous tumor on the auditory nerve
acromegaly,excess growth hormone
actinic keratosis,precancerous skin growth
acuity,clearness
acute,short-term; sudden onset
acute cholecystitis,"gall stones, which may cause upper abdominal pain"
acute tubular necrosis,kidney damage due to low blood flow
addison's disease,adrenal insufficiency
addison’s disease,underproduction of cortisol
adduction,movement toward the midline
adenomyosis,thickening of the uterine walls
adenopathy,swollen glands
adhesive capsulitis,medical term for frozen shoulder
adjuvant,"helpful, assisting, added"
adverse effect,side effect
agent,"drug, medication"
ageusia,loss of taste
agranulocytosis,severe low white blood cell count
aids,acquired immunodeficiency syndrome
albumin,protein found in blood
alkalosis,too much base in the body
allergic reaction,"rash, trouble breathing"
alopecia,hair loss
alopecia areata,hair loss
alport syndrome,inherited kidney disease
alzheimer's disease,memory loss condition
amaurosis fugax,temporary vision loss
amblyopia,lazy eye
ambulate,able to walk
ambulation,able to walk
amenorrhea,absence of periods
amnesia,loss of memory; inability to remember
amyotrophic lateral sclerosis (als),lou gehrig’s disease
anal fissure,tear in the lining of the anus
analgesic,pain-relieving drug
anaphylactic shock,severe allergic reaction
anaphylaxis,"a severe, life-threatening allergic reaction"
anasarca,"build up of fluid throughout the whole body, which occurs in severely ill people"
anemia,low red blood cell count
anesthetic,"a drug or agent used to decrease the feeling of pain, or eliminate the feeling of pain by putting you to sleep"
anesthetize,to numb; put to sleep
aneurysm,ballooning of a blood vessel
angina,pain from not enough blood to the heart
angioedema,swelling under the skin
ankyloglossia,tongue-tie
ankylosing spondylitis,inflammation of the spine and joints
ankylosis,abnormal stiffening of a joint
anorchia,absence of one or both testicles
anorexia,loss of appetite
anosmia,loss of smell
antecubital,inside the elbow
anterior cruciate ligament (acl) tear,torn ligament in the knee
antibiotic,drug that kills germs
antibodies,natural chemicals in the body that fight infection
antibody,protein made in the body in response to foreign substance
anticonvulsant,drug used to prevent seizures
antiemetic,medication to prevent nausea/vomiting
antilipemic,a drug that lowers fat levels in the blood
antilipidemic,drug that decreases the level of fat in the blood
antimicrobial,drug that kills bacteria and other germs
antiretroviral,drug that inhibits viruses
antitussive,drug that relieves coughing
anuria,no urine production
anus,rectum
aortic stenosis,narrowing of the aorta
aphasia,loss of ability to speak
aphonia,loss of voice
aplastic anemia,a disorder caused by decreased production of red blood cells
apnea,absence of breathing
appendicitis,inflammation of the appendix
ards (acute respiratory distress syndrome),severe lung failure
arrhythmia,irregular heart beat
arrhythmia or dysrhythmia,a change from the normal heartbeat
arterial catheter,small tube placed in an artery
arterial thrombosis,blood clot in an artery that blocks the artery. this could be serious and life threatening
arteriosclerosis,stiffening of the arteries
arteriovenous malformation,abnormal blood vessel connections
artery,blood vessel
arthralgia,joint pain
arthritis,joint inflammation
asbestosis,lung disease from inhaling asbestos
ascites,build up of fluid in the abdomen causing bloating and discomfort
aspergillosis,fungal infection in the lungs
aspiration,fluid entering the lungs
aspiration pneumonia,lung infection from inhaling food/liquid
assay,lab test
assess,to learn about
asthenia,loss of energy; weakness
asthma,lung disease associated with tightening of the air passages
astigmatism,blurred vision due to curvature of the cornea
asymptomatic,without symptoms
ataxia,unsteady movement
atelectasis,partial lung collapse
atherosclerosis,hardening of the arteries
atrial fibrillation,irregular heartbeat
autism spectrum disorder,developmental disability affecting communication
autoimmune enteritis,"this is when your immune system attacks normal cells in your body, including the cells that line your digestive tract. this may result in bleeding and inflammation of the esophagus, bowel (intestines), and lower gi tract (colon), which can cause bleeding, diarrhea and perforations (holes). this could be serious or life threatening. hospitalization and treatment with medications (steroids) may be necessary. this can become severe and may require surgical removal of parts of the intestines or colon. these surgical procedures might result in your having a stoma (hole) though which digested food passes"
axilla,armpit
bacteria,germs
baker's cyst,fluid-filled swelling behind the knee
balanitis,inflammation of the penis head
barrett's esophagus,damage to the esophagus lining
barrett’s esophagus,abnormal changes in the esophagus
bartholin's cyst,fluid-filled swelling near the vaginal opening
basal cell carcinoma,common form of skin cancer
baseline,"1. information gathered at the beginning of a study from which variations found in the study are measured. 2. a known value or quantity with which an unknown is compared when measured or assessed. 3. the initial time point in a clinical trial, just before a participant starts to receive the experimental treatment which is being tested. at this reference point, measurable values such as cd4 count are recorded. safety and efficacy of a drug are often determined by monitoring changes from the baseline values."
bell's palsy,temporary facial paralysis
benefit,a valued or desired outcome; an advantage
benign,"not malignant, without serious consequences"
bid,twice a day
biliary atresia,blockage of the bile ducts in newborns
biliary cirrhosis,liver damage due to bile duct problems
bilirubinemia,high levels of bilirubin in the blood
bilirubinuria,bilirubin in urine
bioavailability,the extent to which a drug becomes available to the body
biologic,"any therapeutic serum, toxin, anti-toxin, or analogous microbial product applicable to the prevention, treatment, or cure of diseases or injuries"
biopsy,removal and examination of tissue
bipolar disorder,mood disorder
blastomycosis,fungal infection affecting lungs and skin
blepharitis,eyelid inflammation
blind,"a randomized trial is ""blind"" if the participant is not told which arm of the trial he is on"
blood profile,series of blood tests
bolus,given all at once
bone density,bone thickness; hardness of bone
bone mass,the amount of calcium and other minerals in a given amount of bone
borderline personality disorder,unstable moods and behaviors
botulism,food poisoning from bacteria
bowel perforation,perforation of the digestive system
brachial plexus injury,nerve damage in the shoulder
bradycardia,slow heartbeat
bradypnea,slow breathing
brain stem edema,"accumulation of fluid around the brain stem, this can be life threatening"
breech presentation,baby positioned feet or buttocks first
bronchiectasis,damage to the airways
bronchiolitis,inflammation of the small airways in infants
bronchitis,inflammation of the airways
bronchopneumonia,inflammation of the lungs and bronchi
bronchoscopy,procedure to view the airways
bronchospasm,breathing distress caused by narrowing of the airways
brugada syndrome,genetic disorder affecting heart rhythm
bullae,large blisters
bundle branch block,block in electrical impulses of the heart
bursitis,inflammation of a bursa
callus,thickened skin due to friction
carcinogenic,cancer-causing
carcinoma,a type of cancer
cardiac,related to the heart
cardiac arrest,"sudden, unexpected stopping of the heart."
cardiac catheterization,a procedure in which a small tube (catheter) is inserted through blood vessels in the groin and into the heart that uses highlighting fluid to look at the blood vessels in the heart
cardiac effusion,collection of fluid around the heart
cardiac toxicity,damage to the heart
cardiogenic shock,heart failure leading to shock
cardiomegaly,enlarged heart
cardiomyopathy,heart muscle becomes damaged and the heart doesn’t pump properly
cardiovascular,heart and blood vessels
cardioversion,return to normal heartbeat by electric shock
carotid artery stenosis,narrowing of the carotid arteries
carpal tunnel syndrome,nerve compression in the wrist
